French,English
histoire,history
chercher,search
seulement,only
pensais,thought
demande,request
genre,kind
mois,month
laisser,let
car,because
aucun,no
laisse,leash
eux,them
parlé,speak
arrivé,come
longtemps,long time
vont,will
pendant,while
revoir,meet again
aucune,any
parle,speak
compris,understood
savais,knew
étaient,were
voici,here is
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
écoute,listen
trouve,find
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
matin,morning
enfant,child
point,point
suite,after
pardon,sorry
venez,come
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
donne,given
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
